turbine_id,time,wind_speed,power,temperature,rpm,status
WT01,2026-09-10T00:00:00,8,1300,52,13,正常
WT01,2026-09-10T01:00:00,8.2,1350,53,13.2,正常
WT01,2026-09-10T02:00:00,8.5,1400,54,13.5,正常
WT01,2026-09-10T03:00:00,,1420,54,13.6,正常
WT01,2026-09-10T04:00:00,8.7,1500,55,13.8,正常
WT01,2026-09-10T05:00:00,9,1550,150,14,告警
WT01,2026-09-10T06:00:00,9.2,1600,56,14.2,正常
WT01,2026-09-10T07:00:00,9.1,1580,57,14.1,正常
WT01,2026-09-10T08:00:00,8.9,1520,55,13.9,正常
WT01,2026-09-10T09:00:00,8.5,1450,53,13.5,正常
WT01,2026-09-10T10:00:00,8.2,1370,52,13.2,正常
WT01,2026-09-10T11:00:00,8,1300,52,13,正常
WT01,2026-09-10T12:00:00,7.8,1250,51,12.8,正常
WT01,2026-09-10T13:00:00,7.5,1190,50,12.5,正常
WT01,2026-09-10T14:00:00,7.2,1110,49,12.2,正常
WT01,2026-09-10T15:00:00,7.4,1150,50,12.4,正常
WT01,2026-09-10T16:00:00,7.8,1240,51,12.8,正常
WT01,2026-09-10T17:00:00,8,1300,52,13,正常
WT01,2026-09-10T18:00:00,8.4,1380,54,13.4,正常
WT01,2026-09-10T19:00:00,8.7,1450,55,13.7,正常
WT01,2026-09-10T20:00:00,9,1540,94,14,告警
WT01,2026-09-10T21:00:00,9.2,1610,57,14.2,正常
WT01,2026-09-10T22:00:00,8.9,1520,55,13.9,正常
WT01,2026-09-10T23:00:00,8.5,1410,54,13.5,正常
WT01,2026-09-10T00:00:00,8,1300,52,13,正常
WT01,时间错误,错误,1300,52,13,正常
